Piece Name,color,xCoord,yCoord,piece_id,user_id,game_id
Pawn,White,A,2,0,,
Pawn,White,B,2,1,,
Pawn,White,C,2,2,,
Pawn,White,D,2,3,,
Pawn,White,E,2,4,,
Pawn,White,F,2,5,,
Pawn,White,G,2,6,,
Pawn,White,H,2,7,,
Pawn,Black,A,7,8,,
Pawn,Black,B,7,9,,
Pawn,Black,C,7,10,,
Pawn,Black,D,7,11,,
Pawn,Black,E,7,12,,
Pawn,Black,F,7,13,,
Pawn,Black,G,7,14,,
Pawn,Black,H,7,15,,
Knight,White,B,1,16,,
Knight,White,G,1,17,,
Knight,Black,B,8,18,,
Knight,Black,G,8,19,,
Bishop,White,C,1,20,,
Bishop,White,F,1,21,,
Bishop,Black,C,8,22,,
Bishop,Black,F,8,23,,
Rook,White,A,1,24,,
Rook,White,H,1,25,,
Rook,Black,A,8,26,,
Rook,Black,H,8,27,,
Queen,White,D,1,28,,
Queen,Black,D,8,29,,
King,White,E,1,30,,
King,Black,E,8,31,,
